isco2d,a,b - e,f,g,h,i,j,k,l - n,o,p,q,r - u
11,0,0,0,1,0,1,0,0,0,0,0,0,1
12,0,0,0,1,0,1,0,0,0,0,0,0,1
13,0,0,0,1,0,1,0,0,0,0,0,0,1
14,0,0,0,1,0,1,0,0,0,0,0,0,1
21,0,0,0,1,0,1,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,1,0,1,0,0,0,0,0,0,1
24,0,0,0,1,0,1,0,0,0,0,0,0,1
25,0,0,0,1,0,1,0,0,0,0,0,0,1
26,0,0.75,0.75,0.75,0.75,1,0.75,0.75,0.75,0,0.75,0,1
31,0,0,0,1,0,1,0,0,0,0,0,0,1
32,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,1,0,1,0,0,0,0,0,0,1
34,0,0.75,0.75,0.75,0.75,1,0.75,0.75,0.75,0,0.75,0,1
35,0,0,0,1,0,1,0,0,0,0,0,0,1
41,0,0,0,1,0,1,0,0,0,0,0,0,1
42,0,0,0,1,0,1,0,0,0,0,0,0,1
43,0,0,0,1,0,1,0,0,0,0,0,0,1
44,0,0,0,1,0,1,0,0,0,0,0,0,1
51,0,1,1,1,1,1,1,1,1,0,1,0,1
52,0,0.75,0.75,0.75,0.75,0,0,0,1,0,0.75,0,1
53,0,0,0,0,0,1,0,0,0,0,0,0,1
54,0,0,0,1,0,1,0,0,0,0,0,0,1
61,0,0,0,1,0,1,0,0,0,0,0,0,0
62,0,0,0,1,0,1,0,0,0,0,0,0,1
63,0,0,0,1,0,1,0,0,0,0,0,0,1
71,0,0,0,1,0,1,0,0,0,0,0,0,1
72,0,0,0,1,0,1,0,0,0,0,0,0,1
73,0,0,0,1,0,1,0,0,0,0,0,0,1
74,0,0,0,1,0,1,0,0,0,0,0,0,1
75,0,0,0,1,0,0,0,0,0,0,1,0,1
81,0,0,0,1,0,1,0,0,0,0,0,0,1
82,0,0,0,1,0,1,0,0,0,0,0,0,1
83,0,0,0,1,0,0,0,0,0,0,0,0,1
91,0,0,0,1,0,1,0,0,0,0,1,0,1
92,0,0,0,1,0,1,0,0,0,0,0,0,1
93,0,0,0,1,0,1,0,0,0,0,0,0,1
94,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0,0,0,1,0,1,0,0,0,0,0,0,1
96,0,0,0,1,0,1,0,0,0,0,0,0,1